year,source,confidence
,https://en.wikipedia.org/wiki/Aisha,low
1911.0,https://en.wikipedia.org/wiki/Alexander%27s_Ragtime_Band,medium
1963.0,https://en.wikipedia.org/wiki/Alfie_(play),medium
1966.0,https://en.wikipedia.org/wiki/Alfie_(Sonny_Rollins_album),medium
1865.0,https://en.wikipedia.org/wiki/Alice%27s_Adventures_in_Wonderland,medium
1945.0,https://en.wikipedia.org/wiki/Kimiko_Kasai,medium
2006.0,https://en.wikipedia.org/wiki/All_Alone_(film_series),medium
1985.0,https://en.wikipedia.org/wiki/All_at_Once_(Whitney_Houston_song),medium
1959.0,https://en.wikipedia.org/wiki/All_Blues,medium
1975.0,https://en.wikipedia.org/wiki/All_by_Myself,medium
1937.0,https://en.wikipedia.org/wiki/All_God%27s_Chillun_Got_Rhythm,medium
1959.0,https://en.wikipedia.org/wiki/All_My_Tomorrows_(song),medium
1939.0,https://en.wikipedia.org/wiki/Mel_Carter,medium
1934.0,https://en.wikipedia.org/wiki/All_of_Me_(1934_film),medium
1961.0,https://en.wikipedia.org/wiki/All_of_You_(Ahmad_Jamal_album),medium
1939.0,https://en.wikipedia.org/wiki/All_or_Nothing_at_All,high
1939.0,https://en.wikipedia.org/wiki/All_the_Things_You_Are,medium
1838.0,https://en.wikipedia.org/wiki/Turtles_all_the_way_down,medium
,https://en.wikipedia.org/wiki/All_Saints%27_Day,low
1942.0,https://en.wikipedia.org/wiki/All_Through_the_Night_(film),medium
1940.0,https://en.wikipedia.org/wiki/All_Too_Soon,medium
1947.0,https://en.wikipedia.org/wiki/Almost_Like_Being_in_Love,high
1952.0,https://en.wikipedia.org/wiki/Alone_Together_(Benny_Carter_album),medium
1977.0,https://en.wikipedia.org/wiki/Alone_Too_Long_(album),medium
1983.0,https://en.wikipedia.org/wiki/Moment_to_Moment_(The_Jazztet_album),medium
1985.0,https://en.wikipedia.org/wiki/Always_(1985_film),medium
2021.0,https://en.wikipedia.org/wiki/To_All_the_Boys:_Always_and_Forever,medium
1929.0,https://en.wikipedia.org/wiki/Am_I_Blue%3F,medium
1927.0,https://en.wikipedia.org/wiki/Among_My_Souvenirs,high
1959.0,https://en.wikipedia.org/wiki/Ana_Mar%C3%ADa_Polo,medium
1973.0,https://en.wikipedia.org/wiki/On_the_Third_Day,medium
1944.0,https://en.wikipedia.org/wiki/And_the_Angels_Sing,medium
2001.0,https://en.wikipedia.org/wiki/Angel_Eyes_(film),medium
,https://en.wikipedia.org/wiki/Anthropology,low
1934.0,https://en.wikipedia.org/wiki/Anything_Goes,medium
,https://en.wikipedia.org/wiki/April,low
1932.0,https://en.wikipedia.org/wiki/April_in_Paris_(song),high
1976.0,https://en.wikipedia.org/wiki/Joy_Division,medium
1987.0,https://en.wikipedia.org/wiki/April_Skies,medium
1945.0,https://en.wikipedia.org/wiki/Aren%27t_You_Glad_You%27re_You%3F,medium
1817.0,https://en.wikipedia.org/wiki/Armageddon,medium
1941.0,https://en.wikipedia.org/wiki/Chick_Corea,medium
1946.0,https://en.wikipedia.org/wiki/As_Long_as_I_Live_(1946_film),medium
1931.0,https://en.wikipedia.org/wiki/As_Time_Goes_By_(song),high
,https://en.wikipedia.org/wiki/List_of_compositions_by_Thelonious_Monk,low
1941.0,https://en.wikipedia.org/wiki/At_Last,medium
1975.0,https://en.wikipedia.org/wiki/At_Long_Last_Love,medium
1951.0,https://en.wikipedia.org/wiki/Au_Privave,medium
2000.0,https://en.wikipedia.org/wiki/Autumn_in_New_York_(film),medium
,https://en.wikipedia.org/wiki/Autumn_leaf_color,low
2024.0,https://en.wikipedia.org/wiki/Portrait_(Samara_Joy_album),medium
